epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,1932.57,1.33365,2.51723,1.39083,1.30475,0.47628,0.3943,0.37964,0.2218,0.46044,0.379,0.3631,0.16196,1.62098,2.87856,1.86148,1.5393,0.00103288,0.00103288,0.00103288
30,1996.97,1.31887,2.48458,1.35826,1.29496,0.66398,0.36465,0.42775,0.25162,0.64798,0.35209,0.40494,0.18465,1.64558,2.88687,1.78419,1.54009,0.00101873,0.00101873,0.00101873
31,2064.01,1.30068,2.45188,1.33152,1.2772,0.57269,0.35944,0.41233,0.2371,0.56155,0.34786,0.38511,0.17032,1.63685,2.92762,1.79799,1.54544,0.00100459,0.00100459,0.00100459
32,2131.59,1.28559,2.4255,1.29431,1.26665,0.5301,0.42465,0.42178,0.25334,0.53827,0.42689,0.41378,0.20329,1.59704,2.83447,1.78585,1.50528,0.00099044,0.00099044,0.00099044
33,2196.18,1.2887,2.42908,1.29142,1.27058,0.5501,0.46785,0.46512,0.28237,0.55007,0.45807,0.45206,0.2124,1.57277,2.80085,1.69793,1.49558,0.000976293,0.000976293,0.000976293
34,2262.87,1.27373,2.38873,1.26547,1.25746,0.52889,0.4566,0.44676,0.26769,0.50726,0.44397,0.42655,0.19765,1.5947,2.84723,1.69773,1.48382,0.000962146,0.000962146,0.000962146
35,2330.59,1.26343,2.36618,1.24549,1.25723,0.54507,0.43913,0.43466,0.27385,0.5417,0.42988,0.4159,0.20754,1.54375,2.8028,1.69219,1.45564,0.000947999,0.000947999,0.000947999
36,2394.45,1.24866,2.354,1.21886,1.24483,0.64936,0.43666,0.48591,0.30262,0.64569,0.43268,0.46379,0.22534,1.54269,2.74236,1.58983,1.45931,0.000933851,0.000933851,0.000933851
37,2461.12,1.24973,2.34788,1.21913,1.24734,0.56177,0.44393,0.45825,0.28501,0.55875,0.4358,0.43638,0.21051,1.56082,2.84325,1.68054,1.47727,0.000919704,0.000919704,0.000919704
38,2528.37,1.24965,2.34303,1.2016,1.23215,0.55525,0.44708,0.47542,0.29535,0.54859,0.44155,0.47487,0.23266,1.52944,2.80674,1.67247,1.46204,0.000905557,0.000905557,0.000905557
39,2592.46,1.2268,2.31629,1.18396,1.23039,0.62922,0.43891,0.48384,0.30667,0.61479,0.42719,0.4544,0.22687,1.53155,2.80831,1.61312,1.46042,0.00089141,0.00089141,0.00089141
40,2658.76,1.23751,2.31968,1.18768,1.23339,0.58561,0.44908,0.45547,0.28382,0.58715,0.44851,0.4342,0.21848,1.54956,2.7742,1.68844,1.47647,0.000877263,0.000877263,0.000877263
41,2726.02,1.21075,2.30626,1.15644,1.22339,0.61851,0.48797,0.51315,0.33165,0.61331,0.47847,0.49593,0.24768,1.49818,2.7642,1.61273,1.44132,0.000863116,0.000863116,0.000863116
42,2789.21,1.1996,2.26097,1.1278,1.20694,0.65836,0.47238,0.51781,0.31872,0.65122,0.46649,0.50123,0.24924,1.51104,2.74191,1.56206,1.42887,0.000848969,0.000848969,0.000848969
43,2854.56,1.20422,2.27943,1.13015,1.21506,0.62204,0.47195,0.51893,0.32476,0.64407,0.44906,0.49698,0.25017,1.50901,2.73072,1.55034,1.44669,0.000834822,0.000834822,0.000834822
44,2918.96,1.18043,2.24924,1.1121,1.19965,0.57058,0.50492,0.4908,0.30973,0.58039,0.51286,0.4841,0.23819,1.50795,2.77124,1.6135,1.4505,0.000820675,0.000820675,0.000820675
45,2982.59,1.17005,2.21101,1.0865,1.19186,0.64333,0.47112,0.53165,0.34428,0.66456,0.45077,0.51505,0.26692,1.49604,2.72713,1.54903,1.43468,0.000806528,0.000806528,0.000806528
46,3049.47,1.17934,2.22525,1.07966,1.1929,0.69225,0.48382,0.54136,0.34838,0.69992,0.48084,0.52244,0.27247,1.47548,2.73717,1.54817,1.42137,0.00079238,0.00079238,0.00079238
47,3114.03,1.17563,2.21587,1.08573,1.1932,0.61449,0.51145,0.54637,0.35636,0.77663,0.43852,0.5236,0.2716,1.47862,2.69327,1.51321,1.41938,0.000778233,0.000778233,0.000778233
48,3180.65,1.17358,2.20225,1.05799,1.18182,0.71148,0.47528,0.5479,0.36023,0.71921,0.46474,0.53141,0.27758,1.46943,2.71421,1.50671,1.40368,0.000764086,0.000764086,0.000764086
49,3248.65,1.15632,2.20333,1.05748,1.18264,0.6899,0.48423,0.54491,0.36704,0.70057,0.48956,0.53158,0.28983,1.44385,2.68515,1.47809,1.39117,0.000749939,0.000749939,0.000749939
50,3312.68,1.14634,2.1689,1.03627,1.17342,0.64924,0.49567,0.5462,0.35287,0.64646,0.49335,0.53053,0.2727,1.46096,2.67596,1.49952,1.40892,0.000735792,0.000735792,0.000735792
51,3380.08,1.14622,2.18042,1.04369,1.17465,0.76592,0.46259,0.5406,0.35601,0.75814,0.46309,0.53029,0.27936,1.45618,2.66324,1.49966,1.40018,0.000721645,0.000721645,0.000721645
52,3446.21,1.15519,2.2062,1.05101,1.18026,0.72658,0.4655,0.53709,0.36232,0.72376,0.46352,0.52871,0.27732,1.43203,2.65648,1.47004,1.3665,0.000707498,0.000707498,0.000707498
53,3510.82,1.13197,2.14125,1.00821,1.16125,0.73817,0.5133,0.56777,0.38126,0.72948,0.50542,0.55304,0.29305,1.42078,2.64119,1.47939,1.36832,0.000693351,0.000693351,0.000693351
